=== Moccasin CLI Profiling Report ===

Command: compile profiling/contracts/counter.vy --no-install
Profiling report generated at 2025-07-15

### Cumulative Stats ###
         1957091 function calls (1871506 primitive calls) in 1.012 seconds

   Ordered by: cumulative time
   List reduced from 6833 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.089    0.089 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/boa/test/strategies.py:1(<module>)
        1    0.000    0.000    0.089    0.089 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/hypothesis/__init__.py:1(<module>)
        1    0.000    0.000    0.089    0.089 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_utils/applicators.py:1(<module>)
     1101    0.005    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.079    0.079 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/vyper/__init__.py:1(<module>)
104702/80556    0.007    0.000    0.076    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.075    0.075 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/vyper/compiler/__init__.py:1(<module>)
        1    0.000    0.000    0.071    0.071 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_utils/pydantic.py:1(<module>)
        1    0.000    0.000    0.058    0.058 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/boa/rpc.py:1(<module>)
        1    0.000    0.000    0.058    0.058 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/boa/network.py:1(<module>)
        1    0.000    0.000    0.058    0.058 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/requests/__init__.py:1(<module>)
        1    0.000    0.000    0.056    0.056 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_account/__init__.py:1(<module>)
